Date,Close,High,Low,Open,Volume,Acao
2024-05-20,32.650146484375,33.0854832620493,32.54353471011633,32.63237729047736,40400400,PETR4.SA
2024-05-21,32.587955474853516,32.952215471063965,32.490226604555836,32.685684345151195,27967400,PETR4.SA
2024-05-22,33.03217315673828,33.2809350740458,32.34807449501566,32.42803416688264,36528800,PETR4.SA
2024-05-23,32.70344924926758,33.503042522128524,32.49022234302864,33.263163523532235,47987800,PETR4.SA
2024-05-24,32.52576446533203,33.04105751520615,32.49022607868496,32.934445744392036,23684700,PETR4.SA
2024-05-27,32.88113784790039,32.94333171849761,32.59683753571477,32.623493020007025,13623300,PETR4.SA
2024-05-28,33.5830078125,34.01834459896096,33.23651699732049,33.2631690941413,46437700,PETR4.SA
2024-05-29,33.5385856628418,33.68961872646295,33.26316824261082,33.50304727523899,29246800,PETR4.SA
2024-05-31,34.462562561035156,34.55140513873736,33.67185209645343,33.69850419193867,53929400,PETR4.SA
2024-06-03,34.27599334716797,34.58694577850863,34.15160898550439,34.498103195019105,43454500,PETR4.SA
2024-06-04,33.89396286010742,34.14272479580291,33.494164471220245,34.11607269958617,34090200,PETR4.SA
2024-06-05,33.93838119506836,34.14272182290104,33.82288313964054,33.99168538286052,18627100,PETR4.SA
2024-06-06,34.09830093383789,34.40037042831021,34.000572069578176,34.00945497127137,25944100,PETR4.SA
2024-06-07,32.818946838378906,34.17826128509276,32.747873456039585,33.956151457951016,46003600,PETR4.SA
2024-06-10,33.31647491455078,33.81400216002716,32.978867019794414,33.041057501838075,32560900,PETR4.SA
2024-06-11,33.458621978759766,33.760691458957616,33.31647183449765,33.59188922174847,31131300,PETR4.SA
2024-06-12,32.730587005615234,33.85450122607935,32.5386999770281,33.763127446472026,52182400,PETR4.SA
2024-06-13,32.401634216308594,33.06867253430933,31.84424512554037,32.80368719230461,46233500,PETR4.SA
2024-06-14,31.68891143798828,32.43818760522591,31.204624118738344,32.429051621292636,53534900,PETR4.SA
2024-06-17,31.80769920349121,32.100099480326236,31.31427242919977,31.442197114604312,40941800,PETR4.SA
2024-06-18,32.803688049316406,33.0229865095107,31.81683452138355,31.880796862747403,36180700,PETR4.SA
2024-06-19,32.83110046386719,33.00471204050224,32.50214927808601,32.80368902694752,20776200,PETR4.SA
2024-06-20,33.35193634033203,33.70829893803951,33.077811533302125,33.09608698519559,39442900,PETR4.SA
2024-06-21,33.52554702758789,33.772260393165304,33.242286244865845,33.39762235336684,43340200,PETR4.SA
2024-06-24,33.86363983154297,33.86363983154297,33.33366216341945,33.662613338711814,24599400,PETR4.SA
2024-06-25,33.83622360229492,33.91846139294014,33.58951023035927,33.8544990541812,18572600,PETR4.SA
2024-06-26,33.89105224609375,33.91846368293081,33.54382560818374,33.62606340438121,25553200,PETR4.SA
2024-06-27,34.45758056640625,34.68601852320134,34.10121791151577,34.27482950383286,37731000,PETR4.SA
2024-06-28,34.76824951171875,34.87789873349444,34.457573811949366,34.53981159970262,22019700,PETR4.SA
2024-07-01,35.2982292175293,35.417014429072665,34.88704025457039,35.00582895179988,24963500,PETR4.SA
2024-07-02,35.188575744628906,35.72768937650546,35.12461340573559,35.48097948973755,33346200,PETR4.SA
2024-07-03,34.57636642456055,35.44443128583302,34.50326461129342,35.362193488750655,38509400,PETR4.SA
2024-07-04,34.10121536254883,34.68601593052225,33.91846431363555,34.6311930558287,32698800,PETR4.SA
2024-07-05,34.283966064453125,34.40275476789737,33.90932798653169,34.22000372083383,32758800,PETR4.SA
2024-07-08,35.12461471557617,35.1977165260009,34.073802333367,34.24741390459646,48845900,PETR4.SA
2024-07-09,35.115478515625,35.36219189575818,34.969278381363054,35.13375396811851,34832500,PETR4.SA
2024-07-10,34.78652572631836,35.234265577397,34.70428793676049,35.170303239483765,32899700,PETR4.SA
2024-07-11,35.024105072021484,35.133754302339476,34.823078578366676,34.86876546719199,17229400,PETR4.SA
2024-07-12,34.8596305847168,35.18857828606034,34.85049111525136,35.11547995876832,15779100,PETR4.SA
2024-07-15,35.179443359375,35.38960584947331,34.90531852384182,34.99669230712408,22969200,PETR4.SA
2024-07-16,35.08806610107422,35.17943987530709,34.82307727583842,35.04237572827173,19637000,PETR4.SA
2024-07-17,35.270816802978516,35.35305460141511,35.03324287732078,35.115480675757375,24606100,PETR4.SA
2024-07-18,35.206851959228516,35.32564065646912,35.042376374029566,35.17944052359073,21315500,PETR4.SA
2024-07-19,35.35305404663086,35.42615585995461,35.07892921803942,35.17944246851642,30593100,PETR4.SA
2024-07-22,34.64946365356445,35.26167912036402,34.61291623377595,35.26167912036402,25807800,PETR4.SA
2024-07-23,34.20172882080078,34.72256704766078,34.20172882080078,34.649465233378365,25284700,PETR4.SA
2024-07-24,34.475852966308594,34.72256635606828,34.265690482962114,34.41189062292863,23863800,PETR4.SA
2024-07-25,34.4301643371582,34.49412667730759,34.05552627956058,34.32051510914298,19562600,PETR4.SA
2024-07-26,34.39361572265625,34.841355619200414,34.1925892198381,34.421027160063694,32043200,PETR4.SA
2024-07-29,33.69916534423828,34.46671694975377,33.27883689225897,34.27482643411018,39790000,PETR4.SA
2024-07-30,33.4890022277832,33.598651459158624,33.25142482650254,33.361074057877964,16040700,PETR4.SA
2024-07-31,34.18345260620117,34.18345260620117,33.77226362423278,33.854501420626455,28561100,PETR4.SA
2024-08-01,33.66261291503906,34.56722863570772,33.616926026975946,34.49412682625783,29756300,PETR4.SA
2024-08-02,32.64834976196289,33.62606386018222,32.64834976196289,33.55296553239711,36483900,PETR4.SA
2024-08-05,32.620933532714844,32.620933532714844,31.615804659254746,31.798555680400746,44765900,PETR4.SA
2024-08-06,33.187461853027344,33.498137574085845,32.291985594843695,32.52955950591848,36009000,PETR4.SA
2024-08-07,33.14177703857422,33.58037746886478,32.89506364296958,33.53469057760904,25020500,PETR4.SA
2024-08-08,33.671749114990234,33.763126377390435,33.041261690016555,33.2148732600477,29870300,PETR4.SA
2024-08-09,33.36107635498047,33.76312937385104,32.51129039620054,33.01385318410229,66082100,PETR4.SA
2024-08-12,34.11948776245117,34.54895216610908,33.62606102025094,33.62606102025094,39655100,PETR4.SA
2024-08-13,33.909324645996094,34.38447592727784,33.781399971359846,34.293098669904836,28557200,PETR4.SA
2024-08-14,34.503265380859375,34.722567339865805,33.95501571187289,33.9824271496163,37955500,PETR4.SA
2024-08-15,35.033241271972656,35.23426776686955,34.722565546080276,34.768252435187875,33409000,PETR4.SA
2024-08-16,35.179443359375,35.426156757060774,34.749978909438305,34.877903600308024,35472700,PETR4.SA
2024-08-19,35.12461471557617,35.4444299076551,35.08806729604998,35.270814850739455,28138200,PETR4.SA
2024-08-20,34.987552642822266,35.34391524009919,34.622050576766625,35.17943965894276,27322600,PETR4.SA
2024-08-21,34.77739334106445,35.44443170951195,34.66774061985304,35.343918457911336,38491900,PETR4.SA
2024-08-22,34.88377380371094,35.05293032609859,34.63943859631097,35.03413475862352,26334300,PETR4.SA
2024-08-23,34.66762924194336,35.269073045751824,34.66762924194336,35.118712094799704,29239000,PETR4.SA
2024-08-26,37.18617248535156,37.22376361387933,35.43822444257108,35.579189382106534,102270300,PETR4.SA
2024-08-27,36.68810272216797,36.99822057150996,36.603524475095185,36.885450770375364,35073100,PETR4.SA
2024-08-28,37.2143669128418,37.45870568225176,36.44376664295671,36.59412758379069,43284500,PETR4.SA
2024-08-29,36.960636138916016,37.430514532231165,36.91364543167438,37.261358023846704,25356600,PETR4.SA
2024-08-30,36.99822235107422,37.26135667956115,36.537743549775236,36.85726098909775,84437200,PETR4.SA
2024-09-02,36.6505126953125,37.02641682357838,36.54713888079501,36.96063413886497,15288400,PETR4.SA
2024-09-03,36.208824157714844,36.48135445848267,36.06786280499468,36.4531629049161,35866300,PETR4.SA
2024-09-04,36.21822738647461,36.57533238397301,36.199431820571384,36.40617946061924,28851300,PETR4.SA
2024-09-05,35.99268341064453,36.54714004582325,35.99268341064453,36.32160042958406,26206600,PETR4.SA
